slug,module,category,localFile,high,medium,low,total_issues,issue_types,web_words_adj,doc_words,word_gap_pct,web_imgs_adj,doc_imgs,aggregated,agg_files
fcmon-dashboard-template,FPT Cloud Monitoring,FPT Monitoring,fpt-cloud-monitoring/fcmon-dashboard-template.md,0,2,0,2,"NO_TABLES, WORD_COUNT_LOW",110,47,57%,6,4,,
detinations-sever,FPT Cloud WAPPLES,FPT Security,fpt-cloud-wapples/detinations-sever.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",120,59,51%,9,3,,
view-db-list,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/view-db-list.md,0,1,0,1,FEWER_IMAGES,432,375,13%,10,2,,
pull-docker-image-tu-fpt-container-registry-ve-local,FPT Container Registry,FPT Container,fpt-container-registry/pull-docker-image-tu-fpt-container-registry-ve-local.md,0,4,0,4,"FEWER_IMAGES, NO_CODE_BLOCKS, NO_TABLES, WORD_COUNT_LOW",123,68,45%,10,5,,
quan-ly-account,CheckPoint - FPT NGFW,FPT Security,checkpoint-fpt-ngfw/quan-ly-account.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",110,55,50%,11,8,,
configuration-tab,FPT Cloud Monitoring,FPT Monitoring,fpt-cloud-monitoring/configuration-tab.md,0,2,0,2,"NO_TABLES, WORD_COUNT_LOW",131,77,41%,3,1,,
install-veeam-agent-for-windows,FPT Backup As a Service,FPT Cloud Backup & DR,fpt-backup-as-a-service/install-veeam-agent-for-windows.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",115,61,47%,14,10,,
restore-linux-vm-from-cloud-repository,FPT Backup As a Service,FPT Cloud Backup & DR,fpt-backup-as-a-service/restore-linux-vm-from-cloud-repository.md,0,1,0,1,NO_TABLES,193,140,27%,18,16,,
cau-hinh-telegram-bots,FPT Jenkins CI,FPT DevSecOps Services,fpt-jenkins-ci/cau-hinh-telegram-bots.md,0,2,0,2,"NO_TABLES, WORD_COUNT_LOW",92,39,58%,7,5,,
quan-tri-user,FPT Cloud Monitoring,FPT Monitoring,fpt-cloud-monitoring/quan-tri-user.md,0,1,0,1,WORD_COUNT_LOW,93,43,54%,3,1,,
buy-Public-IP,FPT Cloud Portal – Pay As You Go,FPT Cloud Server,fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/buy-Public-IP.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",82,34,59%,11,4,,
cai-dat-team,FPT AppSec,FPT Security Platform,fpt-appsec/cai-dat-team.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",77,31,60%,8,5,,
chinh-sua-thong-tin-org,FPT AppSec,FPT Security Platform,fpt-appsec/chinh-sua-thong-tin-org.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",83,38,54%,9,6,,
xoa-image-hoac-artifact-trong-repositories,FPT Container Registry,FPT Container,fpt-container-registry/xoa-image-hoac-artifact-trong-repositories.md,0,4,0,4,"FEWER_IMAGES, HEADING_COUNT_DIFF, NO_TABLES, WORD_COUNT_LOW",110,67,39%,13,8,,
restore-file-and-folder-for-windows,FPT Backup As a Service,FPT Cloud Backup & DR,fpt-backup-as-a-service/restore-file-and-folder-for-windows.md,0,2,0,2,"NO_TABLES, WORD_COUNT_LOW",120,77,36%,9,7,,
quan-ly-account-tren-argocd,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/quan-ly-account-tren-argocd.md,0,1,0,1,NO_TABLES,49,6,88%,2,0,,
edit-storage-disk,Cloud Server,FPT Cloud Server,cloud-server/edit-storage-disk.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",92,50,46%,7,2,,
dieu-tra-log,CheckPoint - FPT NGFW,FPT Security,checkpoint-fpt-ngfw/dieu-tra-log.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",76,34,55%,8,5,,
doi-ten-profile,FPT Autoscale,FPT Cloud Server,fpt-autoscale/doi-ten-profile.md,0,1,0,1,NO_TABLES,50,9,82%,4,3,,
xoa-mot-robot-account,FPT Container Registry,FPT Container,fpt-container-registry/xoa-mot-robot-account.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",85,44,48%,9,4,,
user-management-tab,FPT Cloud Monitoring,FPT Monitoring,fpt-cloud-monitoring/user-management-tab.md,0,2,0,2,"NO_TABLES, WORD_COUNT_LOW",74,34,54%,3,1,,
enable-robot-account,FPT Container Registry,FPT Container,fpt-container-registry/enable-robot-account.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",68,29,57%,8,3,,
quota-and-package-tab,FPT Cloud Monitoring,FPT Monitoring,fpt-cloud-monitoring/quota-and-package-tab.md,0,2,0,2,"NO_TABLES, WORD_COUNT_LOW",72,33,54%,4,2,,
