slug,module,web_words,doc_words,content_status,images_status,web_images,doc_images,headings_match_pct,tables_status,web_tables,doc_tables,aggregated,local_files,missing_headings
xem-danh-sach-robot-account,FPT Container Registry,0,39,full,full,1,1,100,n/a,0,0,False,fpt-container-registry/xem-danh-sach-robot-account.md,
xem-danh-sach-workspaces,FPT Cloud Monitoring,133,157,full,full,1,1,100,n/a,0,0,False,fpt-cloud-monitoring/xem-danh-sach-workspaces.md,
xem-ket-qua-quet,FPT Cloud VA,3,47,full,n/a,0,0,100,n/a,0,0,False,fpt-va/xem-ket-qua-quet.md,
xem-ket-qua-quet-cu,FPT Cloud VA,8,24,full,full,1,1,100,n/a,0,0,False,fpt-va/xem-ket-qua-quet-cu.md,
xem-lich-su-backup-and-recovery,Backup,37,152,full,n/a,0,0,100,n/a,0,1,False,backup/xem-lich-su-backup-and-recovery.md,
xem-ranger,FPT Data Platform,101,102,full,full,2,2,100,n/a,0,0,False,fpt-data-platform/ranger/xem-ranger.md,
xem-th%C3%B4ng-tin-snapshot,FPT Data Platform,121,133,full,n/a,0,0,100,n/a,0,0,False,fpt-data-platform/xem-th%C3%B4ng-tin-snapshot.md,
xem-thong-tin-apache-flink,FPT Data Platform,75,87,full,full,1,1,100,n/a,0,0,False,fpt-data-platform/flink/xem-thong-tin-apache-flink.md,
xem-thong-tin-cdc-service,FPT Data Platform,115,123,full,full,2,2,100,n/a,0,0,False,fpt-data-platform/cdc-service/xem-thong-tin-cdc-service.md,
xem-thong-tin-chi-tiet-argocd,FPT ArgoCD,110,106,full,full,4,4,100,n/a,0,0,False,fpt-argocd/xem-thong-tin-chi-tiet-argocd.md,
xem-thong-tin-chi-tiet-jenkins-CI-instance,FPT Jenkins CI,102,124,full,full,4,4,100,n/a,0,0,False,fpt-jenkins-ci/xem-thong-tin-chi-tiet-jenkins-CI-instance.md,
xem-thong-tin-chi-tiet-proxy-host,FPT Cloud WAF,12,34,full,full,2,2,100,n/a,0,0,False,fpt-cloud-waf/xem-thong-tin-chi-tiet-proxy-host.md,
xem-thong-tin-connector,FPT Data Platform,56,63,full,n/a,0,0,100,n/a,0,0,False,fpt-data-platform/cdc-service/xem-thong-tin-connector.md,
xem-thong-tin-hive-metastore,FPT Data Platform,60,76,full,full,1,1,100,n/a,0,0,False,fpt-data-platform/hive-metastore/xem-thong-tin-hive-metastore.md,
xem-thong-tin-ingestion,FPT Data Platform,82,101,full,full,2,2,100,n/a,0,0,False,fpt-data-platform/ingestion/xem-thong-tin-ingestion.md,
xem-thong-tin-juperterhub,FPT Data Platform,120,140,full,full,2,2,100,n/a,0,0,False,fpt-data-platform/jupyterhub/xem-thong-tin-juperterhub.md,
xem-thong-tin-nessie,FPT Data Platform,36,53,full,full,1,1,100,n/a,0,0,False,fpt-data-platform/nessie/xem-thong-tin-nessie.md,
