slug,module,category,localFile,high,medium,low,total_issues,issue_types,web_words_adj,doc_words,word_gap_pct,web_imgs_adj,doc_imgs
cau-hinh-image-updater,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/cau-hinh-image-updater.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",307,60,80%,2,0
cau-hinh-webhook,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/cau-hinh-webhook.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",324,78,76%,2,0
guide-fcr,FPT AppSec,FPT Security Platform,fpt-appsec/guide-fcr.md,1,3,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",572,326,43%,15,12
quan-ly-account-tren-argocd,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/quan-ly-account-tren-argocd.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",309,66,79%,2,0
huong-dan-deploy-applications-qua-argocd-cli,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/huong-dan-deploy-applications-qua-argocd-cli.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",299,58,81%,5,3
theo-doi-bieu-do-load-balancer,Load Balancer,FPT Network,load-balancer/theo-doi-bieu-do-load-balancer.md,1,3,0,4,"NO_CODE_BLOCKS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",420,180,57%,4,0
khoi-tao-canh-bao-vpn,FPT Cloud Guard,FPT Monitoring,cloud-guard/khoi-tao-canh-bao-vpn.md,1,2,0,3,"FEWER_IMAGES, MISSING_HEADINGS, WORD_COUNT_LOW",549,310,44%,8,3
cau-hinh-oidc-phuc-vu-sso-config,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/cau-hinh-oidc-phuc-vu-sso-config.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",275,36,87%,2,0
guide-github,FPT AppSec,FPT Security Platform,fpt-appsec/guide-github.md,1,3,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",511,273,47%,19,16
edit-webhook-secret,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/edit-webhook-secret.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",261,25,90%,4,2
enable-disable-account,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/enable-disable-account.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",268,32,88%,3,1
tutorials-bucket,FPT Object Storage,FPT Storage,fpt-object-storage/tutorials-bucket.md,1,2,0,3,"MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",598,364,39%,4,7
Allow-IP-CIDR,Load Balancer,FPT Network,load-balancer/Allow-IP-CIDR.md,1,2,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",493,260,47%,4,0
dfke-advanced-firewall,Dedicated - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/dfke-advanced-firewall.md,1,3,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",578,345,40%,10,5
delete-webhook-secret,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/delete-webhook-secret.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",260,28,89%,4,2
gioi-thieu-Organization,FPT AppSec,FPT Security Platform,fpt-appsec/gioi-thieu-Organization.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",349,120,66%,5,2
quan-ly-member,FPT AppSec,FPT Security Platform,fpt-appsec/quan-ly-member.md,1,3,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",433,210,52%,20,17
guide-gitlabserver,FPT AppSec,FPT Security Platform,fpt-appsec/guide-gitlabserver.md,1,3,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",386,165,57%,11,8
them-external-member,Load Balancer,FPT Network,load-balancer/them-external-member.md,1,2,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",417,197,53%,4,0
manage-admin-account-enable-disable-anonymous-user,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/manage-admin-account-enable-disable-anonymous-user.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",266,46,83%,2,0
Version-List,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/Version-List.md,1,1,0,2,"NO_IMAGES, WORD_COUNT_LOW",600,381,36%,8,0
cem-chi-tiet-quota-dich-vu,FPT Container Registry,FPT Container,fpt-container-registry/cem-chi-tiet-quota-dich-vu.md,1,1,0,2,"FEWER_IMAGES, WORD_COUNT_LOW",306,89,71%,6,1
tai-file-cau-hinh-vpn,VPN Site-to-Site,FPT Network,vpn-site-to-site/tai-file-cau-hinh-vpn.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",259,43,83%,8,2
guide-issue-by-team,FPT AppSec,FPT Security Platform,fpt-appsec/guide-issue-by-team.md,1,2,0,3,"FEWER_IMAGES, MISSING_HEADINGS, WORD_COUNT_LOW",370,157,58%,4,1
access-logs,Load Balancer,FPT Network,load-balancer/access-logs.md,1,1,0,2,"NO_IMAGES, WORD_COUNT_LOW",493,281,43%,4,0
edit-security-profile,VPN Site-to-Site,FPT Network,vpn-site-to-site/edit-security-profile.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",234,23,90%,8,2
change-password,FPT ArgoCD,FPT DevSecOps Services,iam/change-password.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",297,87,71%,4,3
action-management,VPN Site-to-Site,FPT Network,vpn-site-to-site/action-management.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",225,17,92%,6,6
cau-hinh-lap-lich-chay-retention-rule,FPT Container Registry,FPT Container,fpt-container-registry/cau-hinh-lap-lich-chay-retention-rule.md,1,1,0,2,"FEWER_IMAGES, WORD_COUNT_LOW",326,125,62%,10,5
tao-moi-robot-account,FPT Container Registry,FPT Container,fpt-container-registry/tao-moi-robot-account.md,1,1,0,2,"FEWER_IMAGES, WORD_COUNT_LOW",321,121,62%,10,5
quan-ly-teams-org,FPT AppSec,FPT Security Platform,fpt-appsec/quan-ly-teams-org.md,1,3,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",425,225,47%,16,13
scale-thu-cong,FPT Autoscale,FPT Cloud Server,fpt-autoscale/scale-thu-cong.md,1,2,0,3,"MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",458,259,43%,8,7
auto-repair-nodes,Dedicated - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/auto-repair-nodes.md,1,3,0,4,"HEADING_COUNT_DIFF, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",485,286,41%,5,0
vn-su-dung-file-storage-high-performance-tren-baremetal-gpu-server,File Storage - High Performance,FPT Storage,file-storage-high-performance/vn-su-dung-file-storage-high-performance-tren-baremetal-gpu-server.md,1,2,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",443,245,45%,4,0
kiem-tra-thong-tin-goi-dich-vu,FPT Container Registry,FPT Container,fpt-container-registry/kiem-tra-thong-tin-goi-dich-vu.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",271,73,73%,7,2
cap-nhat-robot-account,FPT Container Registry,FPT Container,fpt-container-registry/cap-nhat-robot-account.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",269,72,73%,9,4
best-practice-manual-scaling,Dedicated - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/best-practice-manual-scaling.md,1,3,0,4,"HEADING_COUNT_DIFF, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",555,359,35%,5,0
quan-ly-mem-team,FPT AppSec,FPT Security Platform,fpt-appsec/quan-ly-mem-team.md,1,3,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",362,168,54%,12,8
guide-change-status-issue-list,FPT AppSec,FPT Security Platform,fpt-appsec/guide-change-status-issue-list.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",306,112,63%,8,5
tag-va-push-image-len-fpt-container-registry,FPT Container Registry,FPT Container,fpt-container-registry/tag-va-push-image-len-fpt-container-registry.md,1,3,0,4,"FEWER_IMAGES, NO_CODE_BLOCKS, NO_TABLES, WORD_COUNT_LOW",266,80,70%,7,2
dfke-faqs,Dedicated - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/dfke-faqs.md,1,2,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",453,269,41%,5,0
redirect-prefix,Load Balancer,FPT Network,load-balancer/redirect-prefix.md,1,2,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",321,143,55%,4,0
guide-workspace,FPT AppSec,FPT Security Platform,fpt-appsec/guide-workspace.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",229,60,74%,5,2
guide-change-status-issue-detail,FPT AppSec,FPT Security Platform,fpt-appsec/guide-change-status-issue-detail.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",236,68,71%,6,3
AutoScale,Dedicated - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/AutoScale.md,1,2,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",382,215,44%,5,0
kich-hoat-dich-vu,FPT Container Registry,FPT Container,fpt-container-registry/kich-hoat-dich-vu.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",258,92,64%,9,4
kiem-tra-trang-thai-cua-alert,FPT Cloud Guard,FPT Monitoring,cloud-guard/kiem-tra-trang-thai-cua-alert.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",211,47,78%,6,1
khoi-tao-canh-bao-virtual-machine,FPT Cloud Guard,FPT Monitoring,cloud-guard/khoi-tao-canh-bao-virtual-machine.md,1,1,0,2,"NO_IMAGES, WORD_COUNT_LOW",365,203,44%,5,0
docker-login,FPT Container Registry,FPT Container,fpt-container-registry/docker-login.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",216,61,72%,8,3
huong-dan-su-dung-robot-account,FPT Container Registry,FPT Container,fpt-container-registry/huong-dan-su-dung-robot-account.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",246,91,63%,7,2
quan-ly-role,FPT AppSec,FPT Security Platform,fpt-appsec/quan-ly-role.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",228,74,68%,7,4
huong-dan-nang-goi-dich-vu-dang-su-dung,FPT Container Registry,FPT Container,fpt-container-registry/huong-dan-nang-goi-dich-vu-dang-su-dung.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",225,73,68%,9,4
quan-ly-team,FPT AppSec,FPT Security Platform,fpt-appsec/quan-ly-team.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",195,43,78%,6,3
cai-dat-team,FPT AppSec,FPT Security Platform,fpt-appsec/cai-dat-team.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",212,60,72%,8,5
chinh-sua-thong-tin-org,FPT AppSec,FPT Security Platform,fpt-appsec/chinh-sua-thong-tin-org.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",218,68,69%,9,6
enable-robot-account,FPT Container Registry,FPT Container,fpt-container-registry/enable-robot-account.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",212,64,70%,8,3
thay-doi-flavor-cau-hinh-nfs,Dedicated - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/thay-doi-flavor-cau-hinh-nfs.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",208,61,71%,9,4
guide-integration,FPT AppSec,FPT Security Platform,fpt-appsec/guide-integration.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",210,63,70%,5,2
scale-worker-nodes,Dedicated - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/scale-worker-nodes.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",228,83,64%,10,4
schedule-edit,FPT AppSec,FPT Security Platform,fpt-appsec/schedule-edit.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",195,50,74%,6,3
schedule-delete,FPT AppSec,FPT Security Platform,fpt-appsec/schedule-delete.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",175,30,83%,5,2
stop-scan,FPT Container Registry,FPT Container,fpt-container-registry/stop-scan.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",195,52,73%,8,3
thay-doi-flavor-cau-hinh-nodes,Dedicated - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/thay-doi-flavor-cau-hinh-nodes.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",207,64,69%,9,4
quan-ly-ket-qua-scan-images,FPT Container Registry,FPT Container,fpt-container-registry/quan-ly-ket-qua-scan-images.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",217,76,65%,9,4
clone-vm-tu-cac-restore-point,Backup,FPT Cloud Backup & DR,backup/clone-vm-tu-cac-restore-point.md,1,2,0,3,"MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",429,289,33%,3,0
disable-robot-account-dang-su-dung,FPT Container Registry,FPT Container,fpt-container-registry/disable-robot-account-dang-su-dung.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",206,67,67%,8,3
tang-storage-size-cua-nodes,Dedicated - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/tang-storage-size-cua-nodes.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",210,71,66%,9,4
tang-storage-size-cua-nfs,Dedicated - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/tang-storage-size-cua-nfs.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",204,68,67%,9,4
fqas-2,Request Resource,Support,billing/fqas-2.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",175,40,77%,4,1
xem-thong-tin-chi-tiet-jenkins-CI-instance,FPT Jenkins CI,FPT DevSecOps Services,fpt-jenkins-ci/xem-thong-tin-chi-tiet-jenkins-CI-instance.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",217,83,62%,6,4
cau-hinh-telegram-bots,FPT Jenkins CI,FPT DevSecOps Services,fpt-jenkins-ci/cau-hinh-telegram-bots.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",189,57,70%,7,5
backup-and-restore-cluster,Dedicated - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/backup-and-restore-cluster.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",202,71,65%,8,3
xem-danh-sach-robot-account,FPT Container Registry,FPT Container,fpt-container-registry/xem-danh-sach-robot-account.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",162,32,80%,6,1
nang-cap-goi-dich-vu,FPT Jenkins CI,FPT DevSecOps Services,fpt-jenkins-ci/nang-cap-goi-dich-vu.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",196,66,66%,5,3
xem-danh-sach-repositories,FPT Container Registry,FPT Container,fpt-container-registry/xem-danh-sach-repositories.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",175,47,73%,6,1
start-kubernetes-cluster,Dedicated - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/start-kubernetes-cluster.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",185,57,69%,8,3
them-nfs-persistent-storage,Dedicated - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/them-nfs-persistent-storage.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",193,65,66%,9,4
cap-nhat-thong-tin-cau-hinh-agent,FPT Jenkins CI,FPT DevSecOps Services,fpt-jenkins-ci/cap-nhat-thong-tin-cau-hinh-agent.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",196,68,65%,6,4
incremental-backup-la-gi-va-loi-ich-khi-su-dung,Backup,FPT Cloud Backup & DR,backup/incremental-backup-la-gi-va-loi-ich-khi-su-dung.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",190,65,66%,3,0
scale-tu-dong-theo-lich-trinh,FPT Autoscale,FPT Cloud Server,fpt-autoscale/scale-tu-dong-theo-lich-trinh.md,1,1,0,2,"MISSING_HEADINGS, NO_TABLES",610,486,20%,11,10
stop-kubernetes-cluster,Dedicated - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/stop-kubernetes-cluster.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",180,56,69%,7,2
Backup-Initial-Setup,Backup,FPT Cloud Backup & DR,backup/Backup-Initial-Setup.md,1,2,0,3,"MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",285,161,44%,3,0
tai-sao-djoi-luc-toi-thay-so-luong-restore-point-tren-he-thong-nhieu-hon-so-luong-lastest-backup-to-keep-dja-khai-bao,Backup,FPT Cloud Backup & DR,backup/tai-sao-djoi-luc-toi-thay-so-luong-restore-point-tren-he-thong-nhieu-hon-so-luong-lastest-backup-to-keep-dja-khai-bao.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",201,77,62%,3,0
scan-image-1,FPT Container Registry,FPT Container,fpt-container-registry/scan-image-1.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",179,58,68%,10,5
cau-hinh-email-notifications,FPT Jenkins CI,FPT DevSecOps Services,fpt-jenkins-ci/cau-hinh-email-notifications.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",175,55,69%,5,3
xoa-agent-khi-khong-muon-su-dung,FPT Jenkins CI,FPT DevSecOps Services,fpt-jenkins-ci/xoa-agent-khi-khong-muon-su-dung.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",190,72,62%,7,5
dashboard-ket-qua-quet,FPT Cloud VA,FPT Security,fpt-va/dashboard-ket-qua-quet.md,1,1,0,2,"NO_IMAGES, WORD_COUNT_LOW",240,123,49%,5,0
khoi-tao-canh-bao-object-storage,FPT Cloud Guard,FPT Monitoring,cloud-guard/khoi-tao-canh-bao-object-storage.md,1,4,0,5,"FEWER_IMAGES, MISSING_HEADINGS, NO_CODE_BLOCKS, NO_TABLES, WORD_COUNT_LOW",269,152,43%,8,3
quan-ly-fpt-cloud-agent,FPT Jenkins CI,FPT DevSecOps Services,fpt-jenkins-ci/quan-ly-fpt-cloud-agent.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",136,19,86%,2,0
quan-ly-nguoi-dung-cua-waf-dashboard,FPT Cloud WAF,FPT Security,fpt-cloud-waf/quan-ly-nguoi-dung-cua-waf-dashboard.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",140,27,81%,6,1
toi-duoc-ho-tro-nhung-gi-khi-thue-may-chu-va-dung-dich-vu-backup-tren-fpt-cloud,Backup,FPT Cloud Backup & DR,backup/toi-duoc-ho-tro-nhung-gi-khi-thue-may-chu-va-dung-dich-vu-backup-tren-fpt-cloud.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",183,70,62%,3,0
upgrade-version,FPT Jenkins CI,FPT DevSecOps Services,fpt-jenkins-ci/upgrade-version.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",180,70,61%,6,4
toi-muon-tim-hieu-ve-backup-fpt-cloud-co-chinh-sach-dung-thu-khong,Backup,FPT Cloud Backup & DR,backup/toi-muon-tim-hieu-ve-backup-fpt-cloud-co-chinh-sach-dung-thu-khong.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",150,41,73%,3,0
xoa-jenkins-instance-khi-khong-muon-su-dung,FPT Jenkins CI,FPT DevSecOps Services,fpt-jenkins-ci/xoa-jenkins-instance-khi-khong-muon-su-dung.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",156,47,70%,5,3
lay-cookie,FPT Cloud VA,FPT Security,fpt-va/lay-cookie.md,1,2,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",263,155,41%,9,0
kiem-tra-thong-tin-backup-va-restore-cua-vm,Backup,FPT Cloud Backup & DR,backup/kiem-tra-thong-tin-backup-va-restore-cua-vm.md,1,2,0,3,"MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",249,141,43%,3,0
detail-dasboard,FPT AppSec,FPT Security Platform,fpt-appsec/detail-dasboard.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",135,28,79%,3,0
backup-volume,Backup,FPT Cloud Backup & DR,backup/backup-volume.md,1,1,0,2,"MISSING_HEADINGS, NO_TABLES",486,382,21%,3,0
quan-ly-credential,FPT Jenkins CI,FPT DevSecOps Services,fpt-jenkins-ci/quan-ly-credential.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",133,31,77%,2,0
try-example-workload,Managed GPU Cluster (Kubernetes),AI Infrastructure,fpt-managed-gpu-cluster/try-example-workload.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",117,16,86%,2,2
xoa-mot-credential,FPT Jenkins CI,FPT DevSecOps Services,fpt-jenkins-ci/xoa-mot-credential.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",161,62,61%,8,6
tutorials-quan-ly-subuser,FPT Object Storage,FPT Storage,fpt-object-storage/tutorials-quan-ly-subuser.md,1,1,0,2,"NO_IMAGES, NO_TABLES",515,420,18%,4,0
kiem-tra-trang-thai-target,FPT Cloud VA,FPT Security,fpt-va/kiem-tra-trang-thai-target.md,1,1,0,2,"NO_IMAGES, WORD_COUNT_LOW",202,109,46%,4,0
quan-ly-managed-gpu-cluster,Managed GPU Cluster (Kubernetes),AI Infrastructure,fpt-managed-gpu-cluster/quan-ly-managed-gpu-cluster.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",102,9,91%,2,2
mo-remote-registry-window,FPT Cloud VA,FPT Security,fpt-va/mo-remote-registry-window.md,1,2,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",213,121,43%,7,0
delete-ip-access,IAM,FPT Security,iam/delete-ip-access.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",123,32,74%,6,2
xay-dung-mot-website-tinh-bang-fpt-object-storage,FPT Object Storage,FPT Storage,fpt-object-storage/xay-dung-mot-website-tinh-bang-fpt-object-storage.md,1,1,0,2,"NO_IMAGES, NO_TABLES",541,451,17%,4,0
xoa-alert,FPT Cloud Guard,FPT Monitoring,cloud-guard/xoa-alert.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",139,49,65%,7,2
demo,FPT Jenkins CI,FPT DevSecOps Services,fpt-argocd/demo.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",120,32,73%,2,0
scan-now,FPT Cloud VA,FPT Security,fpt-va/scan-now.md,1,2,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",169,82,51%,5,0
xem-chi-tiet-ket-qua-quet,FPT Cloud VA,FPT Security,fpt-va/xem-chi-tiet-ket-qua-quet.md,1,2,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",168,82,51%,5,0
phan-quyen-su-dung-bucket-cho-cac-subuser,FPT Object Storage,FPT Storage,fpt-object-storage/phan-quyen-su-dung-bucket-cho-cac-subuser.md,1,1,0,2,"NO_IMAGES, NO_TABLES",385,300,22%,4,0
lay-header,FPT Cloud VA,FPT Security,fpt-va/lay-header.md,1,2,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",222,138,38%,9,0
Recipient-la-gi,FPT Cloud Guard,FPT Monitoring,cloud-guard/Recipient-la-gi.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",132,50,62%,6,1
xoa-group,FPT Autoscale,FPT Cloud Server,fpt-autoscale/xoa-group.md,1,1,1,3,"MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",133,52,61%,5,4
fqas-4,Request Resource,Support,end-user-request-resource/fqas-4.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",120,39,68%,3,0
monitor-public-endpoints,FPT Cloud Monitoring,FPT Monitoring,fpt-cloud-monitoring/monitor-public-endpoints.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",126,47,63%,2,0
xoa-recipient,FPT Cloud Guard,FPT Monitoring,cloud-guard/xoa-recipient.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",113,36,68%,7,2
chinh-sua-recipient,FPT Cloud Guard,FPT Monitoring,cloud-guard/chinh-sua-recipient.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",118,42,64%,7,2
home-page-portal,FPT Cloud Portal – Pay As You Go,FPT Cloud Server,fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/home-page-portal.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",116,41,65%,8,1
tutorials-encryption,FPT Object Storage,FPT Storage,fpt-object-storage/tutorials-encryption.md,1,1,0,2,"NO_IMAGES, NO_TABLES",438,365,17%,4,0
thay-doi-profile-cho-group,FPT Autoscale,FPT Cloud Server,fpt-autoscale/thay-doi-profile-cho-group.md,1,2,0,3,"MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",180,108,40%,4,3
quan-ly-cau-hinh,FPT Jenkins CI,FPT DevSecOps Services,fpt-jenkins-ci/quan-ly-cau-hinh.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",97,25,74%,2,0
dang-nhap,FPT Cloud Portal – Pay As You Go,FPT Cloud Server,fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/dang-nhap.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",84,15,82%,8,1
xem-chi-tiet-workspace,FPT Cloud Monitoring,FPT Monitoring,fpt-cloud-monitoring/xem-chi-tiet-workspace.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",107,38,64%,3,1
alerting,FPT Cloud Monitoring,FPT Monitoring,fpt-cloud-monitoring/alerting.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",81,13,84%,3,1
explore-data,FPT Cloud Monitoring,FPT Monitoring,fpt-cloud-monitoring/explore-data.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",80,14,82%,3,1
fqas-1,Request Resource,Support,end-user-request-resource/fqas-1.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",104,38,63%,3,0
view-performed-transactions,FPT Cloud Portal – Pay As You Go,FPT Cloud Server,fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/view-performed-transactions.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",97,33,66%,8,1
