lang,file,line,ref,text
vi,docs-vi/checkpoint-fpt-ngfw/install-policy.md,15,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-42-3d003ee4.png,![Userguide Checkpoint FPT NGFW 2022 42
vi,docs-vi/checkpoint-fpt-ngfw/install-policy.md,17,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-43-c34684c5.png,![Userguide Checkpoint FPT NGFW 2022 43
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,12,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-4-102-be6940bd.png,![Userguide Checkpoint FPT NGFW 2022 4
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,14,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-5-102-126ffaea.png,![Userguide Checkpoint FPT NGFW 2022 5
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,16,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-6-a8e211b4.png,![Userguide Checkpoint FPT NGFW 2022 6
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,17,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-7-4c25fcc3.png,![Userguide Checkpoint FPT NGFW 2022 7
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,18,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-8-ad10b6e7.png,![Userguide Checkpoint FPT NGFW 2022 8
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,19,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-9-daa6a362.png,![Userguide Checkpoint FPT NGFW 2022 9
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,20,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-10-73925160.png,![Userguide Checkpoint FPT NGFW 2022 10
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,21,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-11-6c6c904a.png,![Userguide Checkpoint FPT NGFW 2022 11
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,22,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-12-797b8c9a.png,![Userguide Checkpoint FPT NGFW 2022 12
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,23,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-13-93ea550f.png,![Userguide Checkpoint FPT NGFW 2022 13
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,24,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-14-dc0e51ef.png,![Userguide Checkpoint FPT NGFW 2022 14
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,25,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-15-bc9a2658.png,![Userguide Checkpoint FPT NGFW 2022 15
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,28,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-16-10-4b291940.png,![Userguide Checkpoint FPT NGFW 2022 16
